Time,E1,S1,W1,N1
2023-07-06 00:00:00,92.0,81.0,141.0,116.0
2023-07-06 00:05:00,142.0,74.0,143.0,104.0
2023-07-06 00:10:00,128.0,87.0,148.0,137.0
2023-07-06 00:15:00,140.0,74.0,136.0,136.0
2023-07-06 00:20:00,119.0,57.0,155.0,105.0
2023-07-06 00:25:00,109.0,72.0,132.0,109.0
2023-07-06 00:30:00,94.0,72.0,115.0,115.0
2023-07-06 00:35:00,118.0,74.0,150.0,105.0
2023-07-06 00:40:00,108.0,64.0,127.0,110.0
2023-07-06 00:45:00,120.0,65.0,124.0,114.0
2023-07-06 00:50:00,118.0,76.0,114.0,104.0
2023-07-06 00:55:00,90.0,66.0,99.0,96.0
2023-07-06 01:00:00,109.0,62.0,118.0,97.0
2023-07-06 01:05:00,102.0,95.0,130.0,87.0
2023-07-06 01:10:00,93.0,97.0,123.0,86.0
2023-07-06 01:15:00,102.0,84.0,125.0,92.0
2023-07-06 01:20:00,96.0,91.0,121.0,83.0
2023-07-06 01:25:00,80.0,78.0,93.0,82.0
2023-07-06 01:30:00,94.0,73.0,109.0,93.0
2023-07-06 01:35:00,80.0,82.0,106.0,81.0
2023-07-06 01:40:00,86.0,70.0,103.0,71.0
2023-07-06 01:45:00,49.0,55.0,119.0,62.0
2023-07-06 01:50:00,92.0,56.0,93.0,100.0
2023-07-06 01:55:00,84.0,54.0,70.0,58.0
2023-07-06 02:00:00,55.0,47.0,80.0,81.0
2023-07-06 02:05:00,77.0,47.0,73.0,54.0
2023-07-06 02:10:00,88.0,41.0,76.0,49.0
2023-07-06 02:15:00,70.0,40.0,64.0,55.0
2023-07-06 02:20:00,76.0,50.0,69.0,59.0
2023-07-06 02:25:00,64.0,47.0,61.0,63.0
2023-07-06 02:30:00,59.0,30.0,71.0,60.0
2023-07-06 02:35:00,71.0,32.0,75.0,62.0
2023-07-06 02:40:00,58.0,23.0,71.0,60.0
2023-07-06 02:45:00,58.0,36.0,69.0,37.0
2023-07-06 02:50:00,69.0,20.0,67.0,63.0
2023-07-06 02:55:00,53.0,27.0,58.0,59.0
2023-07-06 03:00:00,50.0,34.0,51.0,54.0
2023-07-06 03:05:00,62.0,33.0,55.0,39.0
